cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
water brought cocktail,1.0,notadda notaddblah notaddcocktail,1.0,drink cocktail waitress,2.0,cocktail good food,4.0,make best cocktail,6
brought cocktail stir,1.0,notaddblah notaddcocktail notaddshrimp,1.0,cocktail waitress pool,2.0,cocktail vesper bar,4.0,cocktail peopl watch,6
cocktail stir stick,1.0,notaddcocktail notaddshrimp notaddbut,1.0,order cocktail seat,2.0,order cocktail appet,3.0,cocktail ca rememb,6
drink tasti cocktail,1.0,shrimp decent cocktail,1.0,cocktail friend got,2.0,like specialti cocktail,3.0,great place cocktail,6
tasti cocktail rather,1.0,decent cocktail sauc,1.0,margarita cocktail good,2.0,good servic cocktail,3.0,cocktail also delici,6
cocktail rather go,1.0,cocktail sauc special,1.0,cocktail strong notaddat,2.0,tasti cocktail menu,3.0,select beer cocktail,6
appet three cocktail,1.0,no want cocktail,1.0,even vega cocktail,2.0,cocktail nice beer,3.0,bottl wine cocktail,6
three cocktail three,1.0,want cocktail call,1.0,cocktail stop drink,2.0,food cocktail good,3.0,cocktail crab cake,6
cocktail three beer,1.0,cocktail call circoc,1.0,tartar shrimp cocktail,2.0,cocktail good servic,3.0,delici craft cocktail,6
three well cocktail,1.0,ill craft cocktail,1.0,lobster cocktail tini,2.0,cocktail bartend friend,3.0,shrimp cocktail delici,6
well cocktail two,1.0,craft cocktail talk,1.0,cocktail good would,2.0,dish shrimp cocktail,3.0,enjoy cocktail bar,6
cocktail two due,1.0,cocktail talk tini,1.0,go back cocktail,2.0,cocktail great well,3.0,enjoy shrimp cocktail,6
this order cocktail,1.0,went blvd cocktail,1.0,cocktail like get,2.0,specialti cocktail realli,3.0,get shrimp cocktail,6
order cocktail beer,1.0,blvd cocktail compani,1.0,amaz love cocktail,2.0,cocktail wine menu,3.0,look great cocktail,6
cocktail beer doubt,1.0,cocktail compani first,1.0,specialti cocktail menu,2.0,select specialti cocktail,3.0,shrimp cocktail serv,6
enjoy good cocktail,1.0,said order cocktail,1.0,cocktail menu also,2.0,cocktail last night,3.0,cocktail menu chang,6
want water cocktail,1.0,cocktail start water,1.0,cucumb stiletto cocktail,2.0,cocktail muddl strawberri,3.0,best cocktail town,6
water cocktail sit,1.0,nonetheless whole cocktail,1.0,bottl wine cocktail,2.0,made excel cocktail,3.0,craft cocktail well,5
order order cocktail,1.0,whole cocktail menu,1.0,great food cocktail,2.0,cocktail also delici,3.0,wine cocktail list,5
order cocktail menu,1.0,cocktail menu ipad,1.0,cocktail everyth els,2.0,good cocktail drink,3.0,order two cocktail,5
cocktail menu notaddjust,1.0,two signatur cocktail,1.0,notaddof notaddth notaddcocktail,2.0,time cocktail waitress,3.0,delici specialti cocktail,5
order manhattan cocktail,1.0,signatur cocktail could,1.0,manhattan cocktail husband,2.0,cocktail tamarind guava,3.0,cocktail bite eat,5
manhattan cocktail tradit,1.0,cocktail could tast,1.0,shrimp cocktail start,2.0,light dinner cocktail,3.0,amaz cocktail great,5
cocktail tradit serv,1.0,snicker husband cocktail,1.0,hour well cocktail,2.0,shrimp cocktail order,3.0,cocktail friend servic,5
relat quick cocktail,1.0,husband cocktail order,1.0,bar craft cocktail,2.0,post dinner cocktail,3.0,cocktail top notch,5
quick cocktail took,1.0,cocktail order even,1.0,cocktail pretti much,2.0,cocktail menu beer,3.0,cocktail servic great,5
cocktail took without,1.0,tiger prawn cocktail,1.0,cocktail delici though,2.0,cocktail menu creativ,3.0,has amaz cocktail,5
home spot cocktail,1.0,prawn cocktail consist,1.0,cocktail instead overal,2.0,wine cocktail select,3.0,cocktail great atmospher,5
spot cocktail this,1.0,cocktail consist one,1.0,order champagn cocktail,2.0,notaddfor notadda notaddcocktail,3.0,staff great cocktail,5
cocktail this one,1.0,prawn serv cocktail,1.0,good craft cocktail,2.0,cocktail pretti much,3.0,beer wine cocktail,5
enough eat cocktail,1.0,serv cocktail sauc,1.0,craft cocktail pretti,2.0,quick order cocktail,3.0,cocktail menu look,5
eat cocktail ok,1.0,arriv chucumb cocktail,1.0,cocktail great servic,2.0,realli great cocktail,3.0,cocktail server friend,5
cocktail ok save,1.0,chucumb cocktail fabul,1.0,seat order cocktail,2.0,cocktail good price,3.0,cocktail craft beer,5
cocktail shrimp smh,1.0,cocktail fabul app,1.0,order cocktail brought,2.0,beer tap cocktail,3.0,bartend cocktail server,5
notadda notadddec notaddcocktail,1.0,buffett theme cocktail,1.0,ask cocktail ask,2.0,tri specialti cocktail,3.0,perfect craft cocktail,5
notadddec notaddcocktail howev,1.0,theme cocktail pick,1.0,bartend cocktail waitress,2.0,order specialti cocktail,3.0,cocktail one best,5
notaddcocktail howev fault,1.0,cocktail pick one,1.0,tri signatur cocktail,2.0,order cocktail bar,3.0,specialti cocktail also,5
date purchas cocktail,1.0,go contest cocktail,1.0,cocktail waitress take,2.0,one cocktail get,3.0,cocktail beer list,5
purchas cocktail within,1.0,contest cocktail menu,1.0,option good cocktail,2.0,littl cocktail loung,3.0,cocktail waitress wear,5
cocktail within minut,1.0,cocktail menu order,1.0,shrimp cocktail ok,2.0,hous made cocktail,3.0,coupl signatur cocktail,5
entre two cocktail,1.0,rush notaddattent cocktail,1.0,cocktail ok like,2.0,nice select cocktail,3.0,cocktail this bar,5
two cocktail usual,1.0,notaddattent cocktail ladi,1.0,serv hot cocktail,2.0,bottomless brunch cocktail,3.0,cocktail bar great,5
cocktail usual pasta,1.0,cocktail ladi serv,1.0,hot cocktail waitress,2.0,cocktail appet entre,3.0,cocktail best ever,5
dessert dinner cocktail,1.0,made good cocktail,1.0,slice lemon cocktail,2.0,want tri cocktail,3.0,cocktail waitress great,5
dinner cocktail need,1.0,good cocktail like,1.0,flag cocktail waitress,2.0,cocktail waitress came,3.0,great cocktail bartend,5
cocktail need salvag,1.0,cocktail like player,1.0,notadda notaddcocktail notaddwaitress,2.0,cocktail would like,3.0,late night cocktail,5
notaddthi notadddish cocktail,1.0,sushi strang cocktail,1.0,notadda notaddclass notaddcocktail,2.0,hour cocktail great,3.0,order drink cocktail,5
notadddish cocktail came,1.0,strang cocktail peopl,1.0,better cocktail loung,2.0,attent friend cocktail,3.0,cocktail menu this,5
cocktail came standard,1.0,went bar cocktail,1.0,anoth round cocktail,2.0,craft cocktail vega,3.0,cocktail waitress name,5
order two cocktail,1.0,bar cocktail hostess,1.0,great fresh cocktail,2.0,cocktail overal this,3.0,specialti cocktail list,5
two cocktail good,1.0,cocktail hostess said,1.0,cocktail good well,2.0,get drink cocktail,3.0,cocktail waitress super,5
cocktail good notaddeith,1.0,area sip cocktail,1.0,cocktail reason price,2.0,great cocktail food,3.0,cocktail make this,5
pork sandwich cocktail,1.0,sip cocktail minut,1.0,one cocktail menu,2.0,place sip cocktail,3.0,cocktail waitress alway,5
sandwich cocktail big,1.0,cocktail minut call,1.0,got free cocktail,2.0,specialti cocktail list,3.0,servic amaz cocktail,5
cocktail big high,1.0,tabl spend cocktail,1.0,cocktail loung next,2.0,cocktail waitress cute,3.0,true craft cocktail,5
long make cocktail,1.0,spend cocktail notaddb,1.0,specialti cocktail order,2.0,craft cocktail program,3.0,cocktail menu amaz,5
cocktail bar food,1.0,cocktail notaddb notadd,1.0,ballerina czar cocktail,2.0,cocktail full bar,3.0,order cocktail menu,5
green tea cocktail,1.0,fiji size cocktail,1.0,notaddth notaddcocktail notaddlist,2.0,cocktail menu nice,3.0,craft cocktail realli,5
tea cocktail fine,1.0,size cocktail girl,1.0,hour special cocktail,2.0,notaddth notaddcocktail notaddi,3.0,love cocktail waitress,5
cocktail fine charg,1.0,cocktail girl casino,1.0,cocktail sauc good,2.0,cocktail head dinner,3.0,food cocktail amaz,5
friend said cocktail,1.0,shrimp cocktail qualiti,1.0,mignonett cocktail sauc,2.0,even better cocktail,3.0,signatur cocktail delici,5
said cocktail good,1.0,cocktail qualiti tail,1.0,drink beer cocktail,2.0,cocktail drink good,3.0,notaddof notaddtheir notaddcocktail,5
cocktail good would,1.0,food good cocktail,1.0,cocktail menu has,2.0,cocktail sauc great,3.0,amaz cocktail servic,5
ok given cocktail,1.0,good cocktail notaddgood,1.0,bar staff cocktail,2.0,cocktail cabl car,3.0,cocktail food servic,5
given cocktail waitress,1.0,cocktail notaddgood mayb,1.0,tri verbena cocktail,2.0,enjoy cocktail well,3.0,cocktail recommend this,5
cocktail waitress fight,1.0,complimentari miniatur cocktail,1.0,cocktail specialti cocktail,2.0,cute cocktail waitress,3.0,notaddfor notadda notaddcocktail,5
food spot cocktail,1.0,miniatur cocktail dine,1.0,order cocktail good,2.0,servic food cocktail,3.0,cocktail friend bartend,5
spot cocktail brew,1.0,cocktail dine companion,1.0,cocktail tast like,2.0,cocktail menu ipad,3.0,cocktail wine beer,5
cocktail brew choic,1.0,moscow mule cocktail,1.0,light shrimp cocktail,2.0,good shrimp cocktail,3.0,fantast craft cocktail,5
order food cocktail,1.0,mule cocktail part,1.0,notaddb notaddand notaddcocktail,2.0,cocktail littl pricey,3.0,cocktail delici food,5
